Date,State,Death,Type
2021-10-05,Delta,3,State Actor
2021-10-31,Delta,1,State Actor
2021-12-30,Delta,5,State Actor
2022-02-25,Delta,1,State Actor
2022-03-15,Delta,3,State Actor
2022-03-30,Delta,1,State Actor
2022-04-03,Delta,1,State Actor
2022-05-21,Delta,10,State Actor
2022-06-05,Delta,3,State Actor
2012-11-12,Ebonyi,1,State Actor
2013-01-10,Ebonyi,0,State Actor
2013-07-16,Ebonyi,1,State Actor
2014-02-20,Ebonyi,0,State Actor
2015-11-06,Ebonyi,1,State Actor
2016-04-27,Ebonyi,2,State Actor
2016-08-18,Ebonyi,19,State Actor
2016-10-10,Ebonyi,2,State Actor
2016-10-15,Ebonyi,0,State Actor
2017-03-06,Ebonyi,1,State Actor
2018-01-04,Ebonyi,1,State Actor
2019-05-14,Ebonyi,1,State Actor
2019-08-28,Ebonyi,1,State Actor
2019-10-27,Ebonyi,0,State Actor
2020-07-27,Ebonyi,2,State Actor
2020-07-29,Ebonyi,4,State Actor
2020-10-21,Ebonyi,1,State Actor
2021-04-06,Ebonyi,1,State Actor
2021-04-27,Ebonyi,1,State Actor
2021-04-29,Ebonyi,3,State Actor
2021-05-23,Ebonyi,2,State Actor
2021-05-25,Ebonyi,0,State Actor
2021-09-08,Ebonyi,1,State Actor
2021-09-16,Ebonyi,2,State Actor
2021-09-20,Ebonyi,2,State Actor
2021-10-17,Ebonyi,5,State Actor
2021-10-24,Ebonyi,2,State Actor
2021-10-29,Ebonyi,5,State Actor
2021-12-14,Ebonyi,1,State Actor
2022-02-01,Ebonyi,0,State Actor
2022-03-15,Ebonyi,4,State Actor
2022-04-01,Ebonyi,2,State Actor
2022-05-31,Ebonyi,5,State Actor
2012-01-09,Edo,3,State Actor
2013-05-27,Edo,1,State Actor
2013-11-26,Edo,0,State Actor
2013-12-03,Edo,4,State Actor
2013-12-28,Edo,2,State Actor
2014-05-09,Edo,5,State Actor
2014-06-15,Edo,6,State Actor
2014-08-15,Edo,2,State Actor
2014-08-23,Edo,4,State Actor
2014-08-27,Edo,1,State Actor
2014-11-16,Edo,2,State Actor
2014-11-27,Edo,2,State Actor
2015-03-03,Edo,2,State Actor
2015-06-27,Edo,2,State Actor
2015-08-07,Edo,0,State Actor
2015-09-22,Edo,1,State Actor
2017-10-17,Edo,0,State Actor
2018-01-24,Edo,2,State Actor
2018-01-27,Edo,1,State Actor
2018-02-06,Edo,0,State Actor
2018-06-08,Edo,1,State Actor
2018-08-09,Edo,12,State Actor
2018-08-10,Edo,2,State Actor
2018-11-15,Edo,1,State Actor
2018-11-28,Edo,1,State Actor
2019-07-22,Edo,2,State Actor
2019-10-09,Edo,4,State Actor
2019-12-28,Edo,0,State Actor
2019-12-28,Edo,7,State Actor
2020-02-04,Edo,1,State Actor
2020-02-13,Edo,4,State Actor
2020-10-19,Edo,6,State Actor
2020-10-19,Edo,4,State Actor
2020-10-20,Edo,2,State Actor
2020-10-21,Edo,0,State Actor
2020-10-24,Edo,5,State Actor
2020-12-22,Edo,0,State Actor
2020-12-25,Edo,1,State Actor
2021-01-07,Edo,2,State Actor
2021-01-13,Edo,1,State Actor
2021-02-05,Edo,7,State Actor
2021-02-08,Edo,4,State Actor
2021-04-14,Edo,0,State Actor
2021-05-10,Edo,3,State Actor
2021-06-22,Edo,1,State Actor
2021-07-04,Edo,0,State Actor
2021-09-17,Edo,1,State Actor
2021-10-04,Edo,0,State Actor
2021-10-28,Edo,0,State Actor
2021-10-28,Edo,0,State Actor
2022-01-09,Edo,1,State Actor
2022-01-18,Edo,1,State Actor
2022-02-02,Edo,3,State Actor
2022-03-02,Edo,1,State Actor
2022-03-24,Edo,0,State Actor
2022-04-13,Edo,6,State Actor
2022-04-22,Edo,1,State Actor
2022-04-30,Edo,5,State Actor
2011-10-20,Ekiti,1,State Actor
2011-12-21,Ekiti,1,State Actor
2012-10-29,Ekiti,0,State Actor
2012-11-15,Ekiti,0,State Actor
2013-03-01,Ekiti,1,State Actor
2013-04-27,Ekiti,,State Actor
2014-06-07,Ekiti,1,State Actor
2014-09-13,Ekiti,0,State Actor
2015-01-07,Ekiti,0,State Actor
2015-03-12,Ekiti,1,State Actor
2015-03-18,Ekiti,2,State Actor
2015-04-07,Ekiti,1,State Actor
2017-12-12,Ekiti,1,State Actor
2017-12-28,Ekiti,,State Actor
2018-09-19,Ekiti,2,State Actor
2019-02-04,Ekiti,1,State Actor
2019-09-10,Ekiti,2,State Actor
2020-10-20,Ekiti,1,State Actor
2020-11-20,Ekiti,1,State Actor
2020-11-21,Ekiti,1,State Actor
2021-06-04,Ekiti,1,State Actor
2021-10-21,Ekiti,0,State Actor
2021-11-03,Ekiti,1,State Actor
2012-02-17,Enugu,1,State Actor
2012-06-15,Enugu,1,State Actor
2012-10-26,Enugu,0,State Actor
2012-12-15,Enugu,0,State Actor
2014-03-08,Enugu,1,State Actor
2014-04-05,Enugu,2,State Actor
2014-06-05,Enugu,3,State Actor
2015-10-27,Enugu,0,State Actor
2016-10-18,Enugu,1,State Actor
2016-11-04,Enugu,1,State Actor
2016-11-13,Enugu,1,State Actor
2017-03-28,Enugu,1,State Actor
2017-06-11,Enugu,1,State Actor
2017-11-04,Enugu,3,State Actor
2017-12-09,Enugu,2,State Actor
2018-01-06,Enugu,3,State Actor
2018-03-22,Enugu,3,State Actor
2019-03-05,Enugu,2,State Actor
2019-03-09,Enugu,1,State Actor
2019-04-07,Enugu,1,State Actor
2019-11-17,Enugu,1,State Actor
2020-05-25,Enugu,1,State Actor
2020-08-23,Enugu,23,State Actor
2020-10-21,Enugu,4,State Actor
2020-10-24,Enugu,1,State Actor
2020-12-26,Enugu,1,State Actor
2021-05-25,Enugu,5,State Actor
2021-06-20,Enugu,5,State Actor
2021-07-13,Enugu,6,State Actor
2021-07-23,Enugu,10,State Actor
2021-10-07,Enugu,0,State Actor
2021-10-08,Enugu,0,State Actor
2021-11-01,Enugu,5,State Actor
2021-12-25,Enugu,0,State Actor
2022-03-18,Enugu,1,State Actor
2022-06-02,Enugu,2,State Actor
2012-10-12,Federal Capital Territory,1,State Actor
2012-10-18,Federal Capital Territory,3,State Actor
2012-10-20,Federal Capital Territory,1,State Actor
2012-10-23,Federal Capital Territory,0,State Actor
2012-11-21,Federal Capital Territory,,State Actor
2012-12-01,Federal Capital Territory,1,State Actor
2013-03-04,Federal Capital Territory,1,State Actor
2013-05-20,Federal Capital Territory,5,State Actor
2013-09-16,Federal Capital Territory,5,State Actor
2013-09-20,Federal Capital Territory,10,State Actor
2013-12-14,Federal Capital Territory,0,State Actor
2014-02-13,Federal Capital Territory,0,State Actor
2014-03-30,Federal Capital Territory,21,State Actor
2014-06-25,Federal Capital Territory,1,State Actor
2014-10-11,Federal Capital Territory,2,State Actor
2014-11-20,Federal Capital Territory,0,State Actor
2015-02-16,Federal Capital Territory,1,State Actor
2015-12-19,Federal Capital Territory,0,State Actor
2016-02-28,Federal Capital Territory,1,State Actor
2016-04-02,Federal Capital Territory,0,State Actor
2016-07-25,Federal Capital Territory,0,State Actor
2016-08-29,Federal Capital Territory,0,State Actor
2017-04-03,Federal Capital Territory,2,State Actor
2017-08-08,Federal Capital Territory,0,State Actor
2017-11-08,Federal Capital Territory,1,State Actor
2017-11-10,Federal Capital Territory,0,State Actor
2018-01-10,Federal Capital Territory,0,State Actor
2018-03-12,Federal Capital Territory,2,State Actor
2018-04-16,Federal Capital Territory,7,State Actor
2018-04-23,Federal Capital Territory,2,State Actor
2018-07-04,Federal Capital Territory,1,State Actor
2018-07-10,Federal Capital Territory,0,State Actor
2018-09-06,Federal Capital Territory,0,State Actor
2018-10-27,Federal Capital Territory,5,State Actor
2018-10-29,Federal Capital Territory,45,State Actor
2018-10-30,Federal Capital Territory,7,State Actor
2019-03-19,Federal Capital Territory,1,State Actor
2019-04-09,Federal Capital Territory,1,State Actor
2019-04-10,Federal Capital Territory,9,State Actor
2019-07-09,Federal Capital Territory,3,State Actor
2019-07-11,Federal Capital Territory,0,State Actor
2019-07-22,Federal Capital Territory,15,State Actor
2019-07-23,Federal Capital Territory,2,State Actor
2019-07-25,Federal Capital Territory,0,State Actor
2019-10-18,Federal Capital Territory,0,State Actor
2019-12-08,Federal Capital Territory,7,State Actor
2019-12-12,Federal Capital Territory,1,State Actor
2019-12-21,Federal Capital Territory,2,State Actor
2019-12-28,Federal Capital Territory,1,State Actor
2020-01-14,Federal Capital Territory,0,State Actor
2020-01-21,Federal Capital Territory,1,State Actor
2020-02-02,Federal Capital Territory,0,State Actor
2020-02-10,Federal Capital Territory,0,State Actor
2020-02-21,Federal Capital Territory,2,State Actor
2020-04-02,Federal Capital Territory,0,State Actor
2020-06-20,Federal Capital Territory,5,State Actor
2020-09-10,Federal Capital Territory,0,State Actor
2020-10-03,Federal Capital Territory,1,State Actor
2020-10-07,Federal Capital Territory,0,State Actor
2020-10-11,Federal Capital Territory,0,State Actor
2020-10-11,Federal Capital Territory,0,State Actor
2020-10-13,Federal Capital Territory,0,State Actor
2020-10-27,Federal Capital Territory,1,State Actor
2020-11-06,Federal Capital Territory,0,State Actor
2020-11-19,Federal Capital Territory,1,State Actor
2020-11-25,Federal Capital Territory,0,State Actor
2021-01-26,Federal Capital Territory,1,State Actor
2021-01-27,Federal Capital Territory,0,State Actor
2021-02-16,Federal Capital Territory,3,State Actor
2021-03-05,Federal Capital Territory,1,State Actor
2021-03-09,Federal Capital Territory,0,State Actor
2021-03-14,Federal Capital Territory,2,State Actor
2021-03-29,Federal Capital Territory,1,State Actor
2021-04-13,Federal Capital Territory,1,State Actor
2021-04-24,Federal Capital Territory,1,State Actor
2021-05-07,Federal Capital Territory,1,State Actor
2021-06-06,Federal Capital Territory,1,State Actor
2021-06-18,Federal Capital Territory,1,State Actor
2021-09-21,Federal Capital Territory,1,State Actor
2021-09-28,Federal Capital Territory,8,State Actor
2021-09-28,Federal Capital Territory,1,State Actor
2021-10-20,Federal Capital Territory,0,State Actor
2021-11-03,Federal Capital Territory,0,State Actor
2021-12-18,Federal Capital Territory,1,State Actor
2022-03-07,Federal Capital Territory,0,State Actor
2022-03-15,Federal Capital Territory,0,State Actor
2022-03-23,Federal Capital Territory,2,State Actor
2022-05-31,Federal Capital Territory,1,State Actor
2022-06-04,Federal Capital Territory,1,State Actor
2012-06-04,Gombe,1,State Actor
2013-01-19,Gombe,3,State Actor
2013-01-25,Gombe,2,State Actor
2013-08-15,Gombe,8,State Actor
2013-08-16,Gombe,7,State Actor
2013-11-18,Gombe,4,State Actor
2014-02-07,Gombe,3,State Actor
2014-02-16,Gombe,2,State Actor
2014-12-04,Gombe,101,State Actor
2014-12-23,Gombe,1,State Actor
2015-02-14,Gombe,0,State Actor
2015-03-30,Gombe,3,State Actor
2015-06-02,Gombe,2,State Actor
2016-06-09,Gombe,2,State Actor
2019-04-21,Gombe,10,State Actor
2019-09-10,Gombe,3,State Actor
2021-01-05,Gombe,1,State Actor
2012-03-10,Imo,1,State Actor
2012-12-26,Imo,0,State Actor
2013-08-07,Imo,1,State Actor
2015-06-29,Imo,1,State Actor
2016-09-05,Imo,5,State Actor
2016-09-08,Imo,2,State Actor
2016-11-20,Imo,0,State Actor
2017-01-20,Imo,1,State Actor
2017-02-22,Imo,3,State Actor
2017-03-11,Imo,2,State Actor
2017-03-23,Imo,1,State Actor
2017-04-16,Imo,1,State Actor
2017-06-16,Imo,1,State Actor
2017-07-02,Imo,5,State Actor
2017-08-26,Imo,3,State Actor
2017-11-05,Imo,2,State Actor
2017-11-08,Imo,2,State Actor
2017-12-18,Imo,0,State Actor
2018-02-16,Imo,0,State Actor
2018-05-26,Imo,1,State Actor
2018-10-27,Imo,2,State Actor
2019-02-09,Imo,2,State Actor
2019-02-11,Imo,5,State Actor
2019-03-29,Imo,0,State Actor
2019-04-27,Imo,2,State Actor
2019-05-11,Imo,1,State Actor
2019-06-07,Imo,1,State Actor
2019-07-05,Imo,3,State Actor
2019-12-01,Imo,1,State Actor
2020-01-26,Imo,1,State Actor
2020-03-20,Imo,1,State Actor
2020-05-15,Imo,2,State Actor
2020-06-14,Imo,1,State Actor
2020-07-10,Imo,1,State Actor
2020-07-24,Imo,0,State Actor
2020-08-05,Imo,1,State Actor
2021-01-07,Imo,1,State Actor
2021-01-22,Imo,1,State Actor
2021-01-25,Imo,10,State Actor
2021-02-05,Imo,3,State Actor
2021-02-25,Imo,0,State Actor
2021-03-09,Imo,2,State Actor
2021-04-08,Imo,0,State Actor
2021-04-22,Imo,1,State Actor
2021-04-24,Imo,7,State Actor
2021-04-25,Imo,1,State Actor
2021-04-26,Imo,6,State Actor
2021-04-30,Imo,1,State Actor
2021-05-06,Imo,12,State Actor
2021-05-12,Imo,2,State Actor
2021-05-25,Imo,1,State Actor
2021-05-25,Imo,2,State Actor
2021-05-29,Imo,4,State Actor
2021-05-30,Imo,10,State Actor
2021-06-03,imo,7,State Actor
2021-06-06,Imo,5,State Actor
2021-06-20,Imo,1,State Actor
2021-06-25,imo,10,State Actor
2021-06-25,Imo,10,State Actor
2021-06-25,Imo,10,State Actor
2021-07-05,Imo,1,State Actor
2021-07-08,Imo,0,State Actor
2021-07-21,Imo,1,State Actor
2021-07-26,Imo,7,State Actor
2021-07-31,Imo,2,State Actor
2021-08-05,Imo,4,State Actor
2021-08-13,Imo,5,State Actor
2021-08-20,Imo,1,State Actor
2021-08-19,Imo,1,State Actor
2021-08-27,Imo,41,State Actor
2021-08-30,Imo,3,State Actor
2021-09-06,Imo,2,State Actor
2021-09-12,Imo,3,State Actor
2021-09-30,Imo,1,State Actor
2021-10-06,Imo,1,State Actor
2021-10-08,Imo,3,State Actor
2021-10-20,Imo,1,State Actor
2021-11-17,Imo,1,State Actor
2021-11-22,Imo,2,State Actor
2021-11-29,Imo,1,State Actor
2021-11-30,Imo,0,State Actor
2021-12-07,Imo,4,State Actor
2021-12-30,Imo,6,State Actor
2022-01-03,Imo,1,State Actor
2022-01-14,Imo,1,State Actor
2022-01-18,Imo,1,State Actor
2022-02-07,Imo,3,State Actor
2022-02-12,Imo,0,State Actor
2022-02-20,Imo,2,State Actor
2022-02-23,Imo,0,State Actor
2022-03-01,Imo,0,State Actor
2022-03-02,Imo,1,State Actor
2022-03-08,Imo,1,State Actor
2022-03-19,Imo,2,State Actor
2022-03-20,Imo,4,State Actor
2022-04-01,Imo,0,State Actor
2022-04-17,Imo,1,State Actor
2022-04-20,Imo,1,State Actor
2022-04-25,Imo,2,State Actor
2022-04-25,Imo,1,State Actor
2022-05-03,Imo,3,State Actor
2022-05-16,Imo,6,State Actor
2022-05-20,Imo,2,State Actor
2012-11-11,Jigawa,0,State Actor
2013-11-06,Jigawa,2,State Actor
2014-04-09,Jigawa,8,State Actor
2019-01-17,Jigawa,1,State Actor
2019-09-09,Jigawa,1,State Actor
2020-04-20,Jigawa,1,State Actor
2020-12-21,Jigawa,1,State Actor
2020-12-25,Jigawa,2,State Actor
2021-07-15,Jigawa,1,State Actor
2022-01-23,Jigawa,2,State Actor
2011-11-01,Kaduna,1,State Actor
2012-01-10,Kaduna,1,State Actor
2012-02-13,Kaduna,1,State Actor
2012-06-20,Kaduna,15,State Actor
2012-07-20,Kaduna,3,State Actor
2012-08-03,Kaduna,2,State Actor
2012-09-28,Kaduna,2,State Actor
2012-09-30,Kaduna,2,State Actor
2012-10-13,Kaduna,1,State Actor
2012-11-02,Kaduna,0,State Actor
2012-12-08,Kaduna,1,State Actor
2012-12-26,Kaduna,5,State Actor
2013-01-08,Kaduna,3,State Actor
2013-01-24,Kaduna,1,State Actor
2013-01-24,Kaduna,1,State Actor
2013-03-15,Kaduna,3,State Actor
2013-06-14,Kaduna,10,State Actor
2013-08-30,Kaduna,1,State Actor
2013-11-20,Kaduna,20,State Actor
2013-11-26,Kaduna,3,State Actor
2014-04-03,Kaduna,0,State Actor
2014-05-12,Kaduna,4,State Actor
2014-07-06,Kaduna,2,State Actor
2014-07-25,Kaduna,35,State Actor
2014-11-13,Kaduna,0,State Actor
2015-03-29,Kaduna,1,State Actor
2015-06-08,Kaduna,1,State Actor
2015-07-21,Kaduna,3,State Actor
2015-07-20,Kaduna,3,State Actor
2015-12-08,Kaduna,2,State Actor
2015-12-13,Kaduna,300,State Actor
2016-09-25,Kaduna,4,State Actor
2016-12-23,Kaduna,1,State Actor
2017-01-16,Kaduna,3,State Actor
2017-06-09,Kaduna,3,State Actor
2017-06-22,Kaduna,0,State Actor
2017-07-30,Kaduna,0,State Actor
2017-09-18,Kaduna,1,State Actor
2017-10-18,Kaduna,0,State Actor
2017-11-12,Kaduna,2,State Actor
2018-01-07,Kaduna,2,State Actor
2018-01-16,Kaduna,2,State Actor
2018-04-02,Kaduna,2,State Actor
2018-04-29,Kaduna,0,State Actor
2018-06-07,Kaduna,12,State Actor
2018-06-20,Kaduna,4,State Actor
2018-07-06,Kaduna,6,State Actor
2018-07-16,Kaduna,4,State Actor
2018-07-17,Kaduna,1,State Actor
2018-08-11,Kaduna,4,State Actor
2018-08-14,Kaduna,6,State Actor
2018-08-16,Kaduna,2,State Actor
2018-09-10,Kaduna,10,State Actor
2018-10-13,Kaduna,1,State Actor
2018-11-21,Kaduna,14,State Actor
2019-04-03,Kaduna,4,State Actor
2019-04-06,Kaduna,8,State Actor
2019-05-08,Kaduna,2,State Actor
2019-05-10,Kaduna,12,State Actor
2019-05-18,Kaduna,1,State Actor
2019-05-20,Kaduna,2,State Actor
2019-05-31,Kaduna,0,State Actor
2019-07-08,Kaduna,1,State Actor
2019-07-22,Kaduna,2,State Actor
2019-07-24,Kaduna,2,State Actor
2019-07-25,Kaduna,3,State Actor
2019-08-01,Kaduna,13,State Actor
2019-08-09,Kaduna,1,State Actor
2019-09-01,Kaduna,2,State Actor
2019-09-02,Kaduna,0,State Actor
2019-09-07,Kaduna,3,State Actor
2019-09-07,Kaduna,0,State Actor
2019-09-10,Kaduna,3,State Actor
2019-10-05,Kaduna,10,State Actor
2019-10-09,Kaduna,4,State Actor
2019-10-17,Kaduna,1,State Actor
2019-10-20,Kaduna,1,State Actor
2019-10-25,Kaduna,6,State Actor
2019-11-11,Kaduna,0,State Actor
2020-01-10,Kaduna,9,State Actor
2020-01-16,Kaduna,1,State Actor
2020-01-22,Kaduna,2,State Actor
2020-01-25,Kaduna,1,State Actor
2020-02-05,Kaduna,252,State Actor
2020-02-06,Kaduna,3,State Actor
2020-02-08,Kaduna,1,State Actor
2020-03-17,Kaduna,17,State Actor
2020-03-18,Kaduna,1,State Actor
2020-04-01,Kaduna,8,State Actor
2020-04-06,Kaduna,6,State Actor
2020-05-07,Kaduna,17,State Actor
2020-06-03,Kaduna,2,State Actor
2020-06-05,Kaduna,70,State Actor
2020-06-21,Kaduna,0,State Actor
2020-06-25,Kaduna,0,State Actor
2020-07-09,Kaduna,0,State Actor
2020-08-13,Kaduna,10,State Actor
2020-08-22,Kaduna,3,State Actor
2020-08-30,Kaduna,2,State Actor
2020-09-02,Kaduna,4,State Actor
2020-09-03,Kaduna,15,State Actor
2020-09-04,Kaduna,0,State Actor
2020-09-07,Kaduna,4,State Actor
2020-09-28,Kaduna,2,State Actor
2020-10-04,Kaduna,2,State Actor
2020-10-11,Kaduna,2,State Actor
2020-10-24,Kaduna,10,State Actor
2020-11-07,Kaduna,10,State Actor
2020-11-12,Kaduna,10,State Actor
2020-11-15,Kaduna,2,State Actor
2020-11-17,Kaduna,10,State Actor
2020-11-21,Kaduna,0,State Actor
2020-11-23,Kaduna,0,State Actor
2020-11-23,Kaduna,1,State Actor
2020-11-25,Kaduna,0,State Actor
2020-11-27,Kaduna,0,State Actor
2020-11-29,Kaduna,3,State Actor
2020-11-30,Kaduna,1,State Actor
2020-12-05,Kaduna,10,State Actor
2020-12-23,Kaduna,17,State Actor
2020-12-28,Kaduna,8,State Actor
2020-12-29,Kaduna,2,State Actor
2020-12-30,Kaduna,10,State Actor
2021-01-04,Kaduna,20,State Actor
2021-01-14,Kaduna,40,State Actor
2021-01-18,Kaduna,2,State Actor
2021-01-23,Kaduna,20,State Actor
2021-01-28,Kaduna,20,State Actor
2021-01-28,Kaduna,20,State Actor
2021-01-28,Kaduna,20,State Actor
2021-01-29,Kaduna,0,State Actor
2021-02-01,Kaduna,10,State Actor
2021-02-01,Kaduna,10,State Actor
2021-02-01,Kaduna,2,State Actor
2021-02-09,Kaduna,10,State Actor
2021-02-09,Kaduna,10,State Actor
2021-02-13,Kaduna,26,State Actor
2021-02-17,Kaduna,10,State Actor
2021-02-23,Kaduna,17,State Actor
2021-02-28,Kaduna,24,State Actor
2021-03-01,Kaduna,20,State Actor
2021-03-06,Kaduna,0,State Actor
2021-03-06,Kaduna,4,State Actor
2021-03-06,Kaduna,1,State Actor
2021-03-11,Kaduna,0,State Actor
2021-03-11,Kaduna,1,State Actor
2021-03-13,Kaduna,2,State Actor
2021-03-14,Kaduna,0,State Actor
2021-03-14,Kaduna,0,State Actor
2021-03-15,Kaduna,2,State Actor
2021-03-17,Kaduna,2,State Actor
2021-03-22,Kaduna,3,State Actor
2021-03-24,Kaduna,2,State Actor
2021-03-26,Kaduna,1,State Actor
2021-04-07,Kaduna,24,State Actor
2021-04-18,Kaduna,1,State Actor
2021-04-25,Kaduna,0,State Actor
2021-05-03,Kaduna,10,State Actor
2021-05-05,Kaduna,2,State Actor
2021-05-07,Kaduna,1,State Actor
2021-05-13,Kaduna,10,State Actor
2021-05-13,Kaduna,10,State Actor
2021-05-18,Kaduna,0,State Actor
2021-05-19,Kaduna,11,State Actor
2021-06-21,Kaduna,1,State Actor
2021-06-25,Kaduna,0,State Actor
2021-06-27,Kaduna,0,State Actor
2021-06-28,Kaduna,1,State Actor
2021-07-21,Kaduna,3,State Actor
2021-08-02,Kaduna,25,State Actor
2021-08-03,Kaduna,0,State Actor
2021-08-06,Kaduna,0,State Actor
2021-08-07,Kaduna,8,State Actor
2021-08-07,Kaduna,14,State Actor
2021-09-04,Kaduna,1,State Actor
2021-09-13,Kaduna,1,State Actor
2021-09-26,Kaduna,37,State Actor
2021-09-27,Kaduna,1,State Actor
2021-10-02,Kaduna,1,State Actor
2021-10-18,Kaduna,10,State Actor
2021-10-18,Kaduna,50,State Actor
2021-10-29,Kaduna,10,State Actor
2021-10-29,Kaduna,10,State Actor
2021-11-02,Kaduna,24,State Actor
2021-11-09,Kaduna,0,State Actor
2021-11-24,Kaduna,1,State Actor
2021-11-26,Kaduna,12,State Actor
2021-11-28,Kaduna,2,State Actor
2021-11-28,Kaduna,3,State Actor
2021-12-03,Kaduna,45,State Actor
2021-12-11,Kaduna,0,State Actor
2021-12-13,Kaduna,2,State Actor
2021-12-31,Kaduna,1,State Actor
2022-01-03,Kaduna,26,State Actor
2022-01-05,Kaduna,1,State Actor
2022-01-09,Kaduna,5,State Actor
2022-01-14,Kaduna,3,State Actor
2022-01-17,Kaduna,3,State Actor
2022-02-02,Kaduna,1,State Actor
2022-02-04,Kaduna,1,State Actor
2022-02-10,Kaduna,20,State Actor
2022-02-12,Kaduna,1,State Actor
2022-02-20,Kaduna,0,State Actor
2022-03-10,Kaduna,2,State Actor
2022-03-21,Kaduna,0,State Actor
2022-03-26,Kaduna,13,State Actor
2022-03-30,Kaduna,34,State Actor
2022-04-04,Kaduna,20,State Actor
2022-04-05,Kaduna,0,State Actor
2022-04-06,Kaduna,0,State Actor
2022-04-11,Kaduna,1,State Actor
2022-04-15,Kaduna,1,State Actor
2022-04-29,Kaduna,1,State Actor
2022-05-13,Kaduna,8,State Actor
2022-05-23,Kaduna,1,State Actor
2022-05-31,Kaduna,2,State Actor
2011-12-18,Kano,8,State Actor
2012-01-05,Kano,1,State Actor
2012-01-08,Kano,7,State Actor
2012-01-12,Kano,2,State Actor
2012-01-24,Kano,2,State Actor
2012-01-29,Kano,0,State Actor
2012-02-06,Kano,8,State Actor
2012-02-14,Kano,1,State Actor
2012-02-22,Kano,0,State Actor
2012-03-04,Kano,1,State Actor
2012-03-09,Kano,1,State Actor
2012-03-09,Kano,3,State Actor
2012-03-11,Kano,1,State Actor
2012-03-20,Kano,9,State Actor
2012-03-25,Kano,1,State Actor
2012-04-01,Kano,2,State Actor
2012-04-02,Kano,2,State Actor
2012-04-02,Kano,1,State Actor
2012-04-03,Kano,3,State Actor
2012-04-12,Kano,0,State Actor
2012-04-16,Kano,1,State Actor
2012-04-22,Kano,4,State Actor
2012-05-01,Kano,1,State Actor
2012-05-06,Kano,4,State Actor
2012-05-06,Kano,4,State Actor
2012-05-31,Kano,7,State Actor
2012-06-15,Kano,4,State Actor
2012-06-23,Kano,4,State Actor
2012-06-27,Kano,17,State Actor
2012-07-30,Kano,4,State Actor
2012-08-18,Kano,1,State Actor
2012-09-17,Kano,1,State Actor
2013-01-17,Kano,4,State Actor
2013-02-23,Kano,2,State Actor
2013-02-24,Kano,2,State Actor
2013-03-31,Kano,15,State Actor
2013-04-01,Kano,4,State Actor
2013-04-03,Kano,2,State Actor
2013-04-12,Kano,7,State Actor
2013-10-08,Kano,1,State Actor
2013-11-09,Kano,7,State Actor
2013-11-18,Kano,2,State Actor
2014-06-11,Kano,0,State Actor
2014-09-17,Kano,21,State Actor
2014-12-24,Kano,4,State Actor
2015-02-14,Kano,2,State Actor
2015-07-25,Kano,2,State Actor
2015-10-24,Kano,1,State Actor
2015-11-03,Kano,2,State Actor
2016-11-14,Kano,9,State Actor
2017-01-11,Kano,2,State Actor
2017-01-18,Kano,0,State Actor
2017-01-29,Kano,1,State Actor
2017-06-09,Kano,2,State Actor
2017-07-23,Kano,3,State Actor
2017-07-23,Kano,3,State Actor
2017-09-02,Kano,0,State Actor
2017-11-05,Kano,4,State Actor
2017-11-29,Kano,0,State Actor
2018-03-23,Kano,2,State Actor
2018-06-17,Kano,4,State Actor
2019-07-26,Kano,1,State Actor
2019-12-04,Kano,1,State Actor
2020-10-19,Kano,1,State Actor
2020-11-14,Kano,2,State Actor
2020-12-23,Kano,0,State Actor
2022-04-02,Kano,3,State Actor
2012-10-17,Katsina,2,State Actor
2013-05-16,Katsina,13,State Actor
2013-12-25,Katsina,1,State Actor
2014-05-23,Katsina,2,State Actor
2015-02-22,Katsina,0,State Actor
2015-09-07,Katsina,10,State Actor
2015-10-10,Katsina,1,State Actor
2016-06-01,Katsina,1,State Actor
2016-08-12,Katsina,1,State Actor
2016-10-12,Katsina,9,State Actor
2017-03-31,Katsina,1,State Actor
2017-08-05,Katsina,1,State Actor
2017-09-10,Katsina,2,State Actor
2018-02-20,Katsina,1,State Actor
2018-02-27,Katsina,2,State Actor
2019-01-04,Katsina,1,State Actor
2019-02-14,Katsina,5,State Actor
2019-03-15,Katsina,0,State Actor
2019-04-30,Katsina,17,State Actor
2019-05-02,Katsina,0,State Actor
2019-05-30,Katsina,2,State Actor
2019-06-02,Katsina,2,State Actor
2019-06-13,Katsina,1,State Actor
2019-07-13,Katsina,10,State Actor
2019-07-26,Katsina,0,State Actor
2019-09-02,Katsina,0,State Actor
2019-09-10,Katsina,1,State Actor
2019-09-15,Katsina,6,State Actor
2019-09-24,Katsina,2,State Actor
2019-09-29,Katsina,1,State Actor
2019-10-17,Katsina,0,State Actor
2019-11-18,Katsina,1,State Actor
2020-01-02,Katsina,0,State Actor
2020-01-07,Katsina,10,State Actor
2020-01-08,Katsina,10,State Actor
2020-01-09,Katsina,2,State Actor
2020-01-21,Katsina,1,State Actor
2020-02-17,Katsina,2,State Actor
2020-02-23,Katsina,5,State Actor
2020-02-27,Katsina,21,State Actor
2020-03-08,Katsina,1,State Actor
2020-03-11,Katsina,6,State Actor
2020-03-19,Katsina,4,State Actor
2020-03-19,Katsina,24,State Actor
2020-04-23,Katsina,2,State Actor
2020-04-25,Katsina,5,State Actor
2020-05-20,Katsina,67,State Actor
2020-05-27,Katsina,2,State Actor
