Date,State,Death,Type
2020-05-04,Adamawa,10,Boko Haram
2020-12-24,Adamawa,8,Boko Haram
2020-12-28,Adamawa,0,Boko Haram
2021-04-09,Adamawa,7,Boko Haram
2021-07-07,Adamawa,24,Boko Haram
2022-05-09,Adamawa,1,Boko Haram
2015-10-31,Akwa Ibom,2,Boko Haram
2012-04-04,Anambra,0,Boko Haram
2011-05-29,Bauchi,20,Boko Haram
2011-07-05,Bauchi,0,Boko Haram
2011-08-06,Bauchi,0,Boko Haram
2011-08-07,Bauchi,0,Boko Haram
2011-08-16,Bauchi,0,Boko Haram
2011-09-12,Bauchi,7,Boko Haram
2011-11-13,Bauchi,0,Boko Haram
2011-11-20,Bauchi,4,Boko Haram
2011-12-04,Bauchi,7,Boko Haram
2012-01-22,Bauchi,12,Boko Haram
2012-02-28,Bauchi,1,Boko Haram
2012-05-07,Bauchi,0,Boko Haram
2012-05-11,Bauchi,2,Boko Haram
2012-05-11,Bauchi,6,Boko Haram
2012-06-03,Bauchi,12,Boko Haram
2012-06-03,Bauchi,21,Boko Haram
2012-07-22,Bauchi,1,Boko Haram
2012-07-26,Bauchi,3,Boko Haram
2012-07-27,Bauchi,1,Boko Haram
2012-08-08,Bauchi,2,Boko Haram
2012-09-17,Bauchi,2,Boko Haram
2012-09-23,Bauchi,5,Boko Haram
2012-09-26,Bauchi,2,Boko Haram
2012-10-10,Bauchi,1,Boko Haram
2012-10-18,Bauchi,0,Boko Haram
2012-10-28,Bauchi,0,Boko Haram
2012-11-10,Bauchi,1,Boko Haram
2013-08-31,Bauchi,2,Boko Haram
2014-01-30,Bauchi,,Boko Haram
2014-05-14,Bauchi,1,Boko Haram
2014-06-27,Bauchi,11,Boko Haram
2014-07-12,Bauchi,1,Boko Haram
2014-09-03,Bauchi,2,Boko Haram
2014-10-22,Bauchi,17,Boko Haram
2014-11-07,Bauchi,16,Boko Haram
2014-11-16,Bauchi,31,Boko Haram
2014-12-08,Bauchi,20,Boko Haram
2014-12-22,Bauchi,15,Boko Haram
2015-03-11,Bauchi,40,Boko Haram
2015-03-28,Bauchi,0,Boko Haram
2015-03-29,Bauchi,0,Boko Haram
2015-07-10,Bauchi,45,Boko Haram
2011-11-12,Benue,1,Boko Haram
2015-04-25,Benue,15,Boko Haram
2018-01-09,Benue,2,Boko Haram
2022-04-23,Borgogorou,26,Boko Haram
2011-05-30,Borno,1,Boko Haram
2011-06-02,Borno,0,Boko Haram
2011-06-06,Borno,1,Boko Haram
2011-06-07,Borno,5,Boko Haram
2011-06-07,Borno,0,Boko Haram
2011-06-07,Borno,2,Boko Haram
2011-06-07,Borno,3,Boko Haram
2011-06-07,Borno,0,Boko Haram
2011-06-16,Borno,4,Boko Haram
2011-06-20,Borno,1,Boko Haram
2011-06-20,Borno,2,Boko Haram
2011-06-26,Borno,25,Boko Haram
2011-06-27,Borno,5,Boko Haram
2011-07-03,Borno,10,Boko Haram
2011-07-03,Borno,1,Boko Haram
2011-07-04,Borno,4,Boko Haram
2011-07-06,Borno,0,Boko Haram
2011-07-06,Borno,1,Boko Haram
2011-07-06,Borno,1,Boko Haram
2011-07-06,Borno,1,Boko Haram
2011-07-10,Borno,11,Boko Haram
2011-07-12,Borno,5,Boko Haram
2011-07-22,Borno,0,Boko Haram
2011-07-23,Borno,0,Boko Haram
2011-07-26,Borno,2,Boko Haram
2011-08-02,Borno,1,Boko Haram
2011-08-04,Borno,2,Boko Haram
2011-08-08,Borno,1,Boko Haram
2011-08-09,Borno,1,Boko Haram
2011-08-09,Borno,2,Boko Haram
2011-08-09,Borno,0,Boko Haram
2011-08-12,Borno,1,Boko Haram
2011-08-15,Borno,1,Boko Haram
2011-08-16,Borno,2,Boko Haram
2011-08-19,Borno,4,Boko Haram
2011-09-04,Borno,1,Boko Haram
2011-09-06,Borno,0,Boko Haram
2011-09-13,Borno,4,Boko Haram
2011-09-17,Borno,1,Boko Haram
2011-10-01,Borno,3,Boko Haram
2011-10-01,Borno,2,Boko Haram
2011-10-12,Borno,1,Boko Haram
2011-10-13,Borno,1,Boko Haram
2011-10-15,Borno,1,Boko Haram
2011-10-16,Borno,1,Boko Haram
2011-10-19,Borno,1,Boko Haram
2011-10-19,Borno,2,Boko Haram
