Date,state,Death,type,,,,,,,
1/15/2022,Borno,5,Boko Haram,,,,,,,
1/20/2022,Borno,2,Boko Haram,,,,,,,
1/29/2022,Borno,0,Boko Haram,,,,,,,
1/29/2022,Borno,0,Boko Haram,,,,,,,
2/2/2022,Borno,1,Boko Haram,,,,,,,
2/12/2022,Borno,0,Boko Haram,,,,,,,
2/14/2022,Borno,6,Boko Haram,,,,,,,
2/20/2022,Borno,1,Boko Haram,,,,,,,
2/25/2022,Borno,3,Boko Haram,,,,,,,
2/26/2022,Borno,24,Boko Haram,,,,,,,
2/27/2022,Borno,7,Boko Haram,,,,,,,
2/28/2022,Borno,1,Boko Haram,,,,,,,
3/6/2022,Borno,17,Boko Haram,,,,,,,
3/16/2022,Borno,0,Boko Haram,,,,,,,
3/17/2022,Borno,1,Boko Haram,,,,,,,
3/28/2022,Borno,50,Boko Haram,,,,,,,
4/6/2022,Borno,10,Boko Haram,,,,,,,
4/6/2022,Borno,0,Boko Haram,,,,,,,
4/10/2022,Borno,22,Boko Haram,,,,,,,
4/16/2022,Borno,100,Boko Haram,,,,,,,
4/18/2022,Borno,3,Boko Haram,,,,,,,
4/19/2022,Borno,28,Boko Haram,,,,,,,
4/19/2022,Borno,34,Boko Haram,,,,,,,
4/25/2022,Borno,1,Boko Haram,,,,,,,
4/27/2022,Borno,0,Boko Haram,,,,,,,
5/3/2022,Borno,9,Boko Haram,,,,,,,
5/5/2022,Borno,6,Boko Haram,,,,,,,
5/22/2022,Borno,60,Boko Haram,,,,,,,
5/22/2022,Borno,2,Boko Haram,,,,,,,
5/22/2022,Borno,2,Boko Haram,,,,,,,
5/22/2022,Borno,6,Boko Haram,,,,,,,
5/30/2022,Borno,2,Boko Haram,,,,,,,
5/31/2022,Borno,14,Boko Haram,,,,,,,
6/6/2022,Borno,0,Boko Haram,,,,,,,
9/5/2015,Delta,3,Boko Haram,,,,,,,
6/16/2011,Federal Capital Territory,2,Boko Haram,,,,,,,
8/26/2011,Federal Capital Territory,23,Boko Haram,,,,,,,
9/29/2011,Federal Capital Territory,2,Boko Haram,,,,,,,
3/30/2014,Federal Capital Territory,21,Boko Haram,,,,,,,
4/14/2014,Federal Capital Territory,89,Boko Haram,,,,,,,
6/25/2014,Federal Capital Territory,24,Boko Haram,,,,,,,
10/2/2015,Federal Capital Territory,20,Boko Haram,,,,,,,
10/16/2011,Gombe,4,Boko Haram,,,,,,,
12/29/2011,Gombe,0,Boko Haram,,,,,,,
1/5/2012,Gombe,9,Boko Haram,,,,,,,
1/13/2012,Gombe,2,Boko Haram,,,,,,,
1/18/2012,Gombe,0,Boko Haram,,,,,,,
2/24/2012,Gombe,14,Boko Haram,,,,,,,
8/12/2012,Gombe,1,Boko Haram,,,,,,,
2/23/2013,Gombe,5,Boko Haram,,,,,,,
11/18/2013,Gombe,4,Boko Haram,,,,,,,
6/8/2014,Gombe,2,Boko Haram,,,,,,,
10/31/2014,Gombe,40,Boko Haram,,,,,,,
11/4/2014,Gombe,13,Boko Haram,,,,,,,
12/4/2014,Gombe,101,Boko Haram,,,,,,,
12/22/2014,Gombe,20,Boko Haram,,,,,,,
12/23/2014,Gombe,1,Boko Haram,,,,,,,
12/31/2014,Gombe,2,Boko Haram,,,,,,,
1/1/2015,Gombe,1,Boko Haram,,,,,,,
1/13/2015,Gombe,3,Boko Haram,,,,,,,
1/16/2015,Gombe,6,Boko Haram,,,,,,,
2/1/2015,Gombe,5,Boko Haram,,,,,,,
2/2/2015,Gombe,18,Boko Haram,,,,,,,
2/14/2015,Gombe,0,Boko Haram,,,,,,,
3/28/2015,Gombe,2,Boko Haram,,,,,,,
3/28/2015,Gombe,3,Boko Haram,,,,,,,
3/28/2015,Gombe,4,Boko Haram,,,,,,,
3/28/2015,Gombe,8,Boko Haram,,,,,,,
3/30/2015,Gombe,3,Boko Haram,,,,,,,
4/2/2015,Gombe,20,Boko Haram,,,,,,,
7/16/2015,Gombe,50,Boko Haram,,,,,,,
7/22/2015,Gombe,37,Boko Haram,,,,,,,
1/3/2012,Jigawa,1,Boko Haram,,,,,,,
4/28/2013,Jigawa,5,Boko Haram,,,,,,,
4/9/2014,Jigawa,8,Boko Haram,,,,,,,
5/29/2011,Kaduna,6,Boko Haram,,,,,,,
5/30/2011,Kaduna,2,Boko Haram,,,,,,,
7/10/2011,Kaduna,0,Boko Haram,,,,,,,
11/6/2011,Kaduna,2,Boko Haram,,,,,,,
12/7/2011,Kaduna,12,Boko Haram,,,,,,,
12/18/2011,Kaduna,1,Boko Haram,,,,,,,
1/28/2012,Kaduna,1,Boko Haram,,,,,,,
2/7/2012,Kaduna,3,Boko Haram,,,,,,,
2/14/2012,Kaduna,1,Boko Haram,,,,,,,
2/25/2012,Kaduna,1,Boko Haram,,,,,,,
2/25/2012,Kaduna,0,Boko Haram,,,,,,,
2/26/2012,Kaduna,2,Boko Haram,,,,,,,
2/29/2012,Kaduna,1,Boko Haram,,,,,,,
3/16/2012,Kaduna,10,Boko Haram,,,,,,,
4/1/2012,Kaduna,2,Boko Haram,,,,,,,
4/1/2012,Kaduna,1,Boko Haram,,,,,,,
4/7/2012,Kaduna,1,Boko Haram,,,,,,,
4/8/2012,Kaduna,38,Boko Haram,,,,,,,
4/15/2012,Kaduna,1,Boko Haram,,,,,,,
4/26/2012,Kaduna,6,Boko Haram,,,,,,,
4/27/2012,Kaduna,1,Boko Haram,,,,,,,
5/6/2012,Kaduna,1,Boko Haram,,,,,,,
5/11/2012,Kaduna,3,Boko Haram,,,,,,,
5/12/2012,Kaduna,1,Boko Haram,,,,,,,
6/17/2012,Kaduna,72,Boko Haram,,,,,,,
6/17/2012,Kaduna,0,Boko Haram,,,,,,,
8/14/2012,Kaduna,2,Boko Haram,,,,,,,
10/28/2012,Kaduna,15,Boko Haram,,,,,,,
11/14/2012,Kaduna,7,Boko Haram,,,,,,,
11/25/2012,Kaduna,30,Boko Haram,,,,,,,
1/18/2013,Kaduna,3,Boko Haram,,,,,,,
4/16/2013,Kaduna,2,Boko Haram,,,,,,,
9/2/2013,Kaduna,10,Boko Haram,,,,,,,
9/28/2013,Kaduna,15,Boko Haram,,,,,,,
10/6/2013,Kaduna,1,Boko Haram,,,,,,,
10/14/2013,Kaduna,0,Boko Haram,,,,,,,
10/25/2013,Kaduna,0,Boko Haram,,,,,,,
2/1/2014,Kaduna,3,Boko Haram,,,,,,,
7/6/2014,Kaduna,2,Boko Haram,,,,,,,
7/23/2014,Kaduna,110,Boko Haram,,,,,,,
6/8/2015,Kaduna,1,Boko Haram,,,,,,,
7/7/2015,Kaduna,25,Boko Haram,,,,,,,
7/7/2015,Kaduna,41,Boko Haram,,,,,,,
2/5/2020,Kaduna,252,Boko Haram,,,,,,,
2/6/2020,Kaduna,3,Boko Haram,,,,,,,
12/15/2011,Kano,4,Boko Haram,,,,,,,
12/16/2011,Kano,2,Boko Haram,,,,,,,
12/18/2011,Kano,8,Boko Haram,,,,,,,
1/20/2012,Kano,215,Boko Haram,,,,,,,
1/24/2012,Kano,0,Boko Haram,,,,,,,
1/26/2012,Kano,0,Boko Haram,,,,,,,
1/27/2012,Kano,5,Boko Haram,,,,,,,
1/29/2012,Kano,0,Boko Haram,,,,,,,
2/6/2012,Kano,4,Boko Haram,,,,,,,
2/22/2012,Kano,0,Boko Haram,,,,,,,
2/23/2012,Kano,4,Boko Haram,,,,,,,
2/24/2012,Kano,5,Boko Haram,,,,,,,
3/4/2012,Kano,1,Boko Haram,,,,,,,
3/5/2012,Kano,2,Boko Haram,,,,,,,
3/5/2012,Kano,4,Boko Haram,,,,,,,
3/9/2012,Kano,1,Boko Haram,,,,,,,
3/12/2012,Kano,1,Boko Haram,,,,,,,
3/13/2012,Kano,4,Boko Haram,,,,,,,
3/20/2012,Kano,4,Boko Haram,,,,,,,
3/24/2012,Kano,2,Boko Haram,,,,,,,
4/2/2012,Kano,1,Boko Haram,,,,,,,
4/15/2012,Kano,0,Boko Haram,,,,,,,
4/25/2012,Kano,0,Boko Haram,,,,,,,
4/29/2012,Kano,1,Boko Haram,,,,,,,
4/29/2012,Kano,19,Boko Haram,,,,,,,
5/8/2012,Kano,0,Boko Haram,,,,,,,
5/11/2012,Kano,1,Boko Haram,,,,,,,
5/13/2012,Kano,5,Boko Haram,,,,,,,
5/16/2012,Kano,0,Boko Haram,,,,,,,
5/26/2012,Kano,4,Boko Haram,,,,,,,
5/31/2012,Kano,7,Boko Haram,,,,,,,
6/9/2012,Kano,1,Boko Haram,,,,,,,
6/9/2012,Kano,1,Boko Haram,,,,,,,
6/20/2012,Kano,4,Boko Haram,,,,,,,
6/27/2012,Kano,17,Boko Haram,,,,,,,
6/30/2012,Kano,6,Boko Haram,,,,,,,
7/23/2012,Kano,1,Boko Haram,,,,,,,
7/29/2012,Kano,2,Boko Haram,,,,,,,
7/29/2012,Kano,4,Boko Haram,,,,,,,
9/16/2012,Kano,4,Boko Haram,,,,,,,
10/9/2012,Kano,2,Boko Haram,,,,,,,
10/10/2012,Kano,2,Boko Haram,,,,,,,
11/4/2012,Kano,3,Boko Haram,,,,,,,
12/3/2012,Kano,2,Boko Haram,,,,,,,
12/4/2012,Kano,2,Boko Haram,,,,,,,
12/22/2012,Kano,2,Boko Haram,,,,,,,
1/12/2013,Kano,2,Boko Haram,,,,,,,
1/12/2013,Kano,2,Boko Haram,,,,,,,
1/13/2013,Kano,4,Boko Haram,,,,,,,
1/15/2013,Kano,5,Boko Haram,,,,,,,
1/19/2013,Kano,6,Boko Haram,,,,,,,
1/30/2013,Kano,2,Boko Haram,,,,,,,
2/8/2013,Kano,10,Boko Haram,,,,,,,
2/25/2013,Kano,1,Boko Haram,,,,,,,
3/10/2013,Kano,4,Boko Haram,,,,,,,
3/14/2013,Kano,1,Boko Haram,,,,,,,
3/18/2013,Kano,75,Boko Haram,,,,,,,
3/23/2013,Kano,2,Boko Haram,,,,,,,
3/31/2013,Kano,15,Boko Haram,,,,,,,
4/1/2013,Kano,4,Boko Haram,,,,,,,
4/3/2013,Kano,2,Boko Haram,,,,,,,
7/29/2013,Kano,50,Boko Haram,,,,,,,
9/22/2013,Kano,1,Boko Haram,,,,,,,
11/9/2013,Kano,7,Boko Haram,,,,,,,
1/7/2014,Kano,3,Boko Haram,,,,,,,
5/18/2014,Kano,15,Boko Haram,,,,,,,
6/11/2014,Kano,0,Boko Haram,,,,,,,
6/23/2014,Kano,8,Boko Haram,,,,,,,
7/24/2014,Kano,5,Boko Haram,,,,,,,
7/27/2014,Kano,6,Boko Haram,,,,,,,
7/28/2014,Kano,5,Boko Haram,,,,,,,
7/30/2014,Kano,7,Boko Haram,,,,,,,
9/17/2014,Kano,21,Boko Haram,,,,,,,
11/14/2014,Kano,6,Boko Haram,,,,,,,
11/28/2014,Kano,120,Boko Haram,,,,,,,
12/10/2014,Kano,7,Boko Haram,,,,,,,
2/14/2015,Kano,2,Boko Haram,,,,,,,
2/24/2015,Kano,26,Boko Haram,,,,,,,
7/6/2015,Kano,1,Boko Haram,,,,,,,
11/18/2015,Kano,19,Boko Haram,,,,,,,
11/27/2015,Kano,21,Boko Haram,,,,,,,
7/23/2017,Kano,3,Boko Haram,,,,,,,
6/20/2011,Katsina,0,Boko Haram,,,,,,,
6/21/2011,Katsina,7,Boko Haram,,,,,,,
12/19/2012,Katsina,2,Boko Haram,,,,,,,
5/16/2013,Katsina,13,Boko Haram,,,,,,,
5/23/2014,Katsina,2,Boko Haram,,,,,,,
9/7/2015,Katsina,10,Boko Haram,,,,,,,
1/7/2020,Katsina,10,Boko Haram,,,,,,,
12/11/2020,Katsina,3,Boko Haram,,,,,,,
1/31/2012,Kogi,1,Boko Haram,,,,,,,
2/3/2012,Kogi,4,Boko Haram,,,,,,,
2/15/2012,Kogi,1,Boko Haram,,,,,,,
3/31/2012,Kogi,11,Boko Haram,,,,,,,
8/6/2012,Kogi,20,Boko Haram,,,,,,,
8/7/2012,Kogi,4,Boko Haram,,,,,,,
1/19/2013,Kogi,2,Boko Haram,,,,,,,
9/14/2014,Kogi,0,Boko Haram,,,,,,,
9/26/2015,Kogi,4,Boko Haram,,,,,,,
10/13/2015,Kogi,10,Boko Haram,,,,,,,
5/29/2022,Kogi,0,Boko Haram,,,,,,,
6/2/2022,Kogi,2,Boko Haram,,,,,,,
5/20/2018,Nasarawa,40,Boko Haram,,,,,,,
1/18/2021,Nasarawa,14,Boko Haram,,,,,,,
7/10/2011,Niger,4,Boko Haram,,,,,,,
7/11/2011,Niger,0,Boko Haram,,,,,,,
12/25/2011,Niger,35,Boko Haram,,,,,,,
2/16/2012,Niger,3,Boko Haram,,,,,,,
2/19/2012,Niger,0,Boko Haram,,,,,,,
2/22/2012,Niger,2,Boko Haram,,,,,,,
11/12/2014,Niger,10,Boko Haram,,,,,,,
11/18/2021,Niger,0,Boko Haram,,,,,,,
11/25/2021,Niger,13,Boko Haram,,,,,,,
2/25/2022,Niger,0,Boko Haram,,,,,,,
5/12/2022,Niger,4,Boko Haram,,,,,,,
6/30/2013,Ondo,10,Boko Haram,,,,,,,
3/15/2018,Oyo,0,Boko Haram,,,,,,,
9/11/2011,Plateau,0,Boko Haram,,,,,,,
12/25/2011,Plateau,2,Boko Haram,,,,,,,
2/26/2012,Plateau,8,Boko Haram,,,,,,,
6/10/2012,Plateau,10,Boko Haram,,,,,,,
8/29/2013,Plateau,6,Boko Haram,,,,,,,
11/23/2013,Plateau,5,Boko Haram,,,,,,,
5/20/2014,Plateau,162,Boko Haram,,,,,,,
5/24/2014,Plateau,8,Boko Haram,,,,,,,
6/20/2014,Plateau,1,Boko Haram,,,,,,,
12/11/2014,Plateau,40,Boko Haram,,,,,,,
2/26/2015,Plateau,18,Boko Haram,,,,,,,
4/25/2015,Plateau,4,Boko Haram,,,,,,,
7/5/2015,Plateau,51,Boko Haram,,,,,,,
7/12/2015,Plateau,0,Boko Haram,,,,,,,
8/21/2012,Rivers,4,Boko Haram,,,,,,,
9/1/2012,Sokoto,3,Boko Haram,,,,,,,
4/30/2012,Taraba,11,Boko Haram,,,,,,,
7/5/2013,Taraba,3,Boko Haram,,,,,,,
4/19/2022,Taraba,16,Boko Haram,,,,,,,
4/22/2022,Taraba,0,Boko Haram,,,,,,,
11/5/2011,Yobe,150,Boko Haram,,,,,,,
11/26/2011,Yobe,4,Boko Haram,,,,,,,
12/19/2011,Yobe,1,Boko Haram,,,,,,,
12/22/2011,Yobe,7,Boko Haram,,,,,,,
12/22/2011,Yobe,5,Boko Haram,,,,,,,
12/23/2011,Yobe,81,Boko Haram,,,,,,,
12/24/2011,Yobe,0,Boko Haram,,,,,,,
12/25/2011,Yobe,4,Boko Haram,,,,,,,
1/3/2012,Yobe,1,Boko Haram,,,,,,,
1/4/2012,Yobe,2,Boko Haram,,,,,,,
1/6/2012,Yobe,2,Boko Haram,,,,,,,
1/10/2012,Yobe,8,Boko Haram,,,,,,,
1/11/2012,Yobe,4,Boko Haram,,,,,,,
1/16/2012,Yobe,3,Boko Haram,,,,,,,
1/20/2012,Yobe,1,Boko Haram,,,,,,,
1/30/2012,Yobe,1,Boko Haram,,,,,,,
2/5/2012,Yobe,1,Boko Haram,,,,,,,
2/11/2012,Yobe,2,Boko Haram,,,,,,,
2/21/2012,Yobe,2,Boko Haram,,,,,,,
2/26/2012,Yobe,1,Boko Haram,,,,,,,
2/26/2012,Yobe,1,Boko Haram,,,,,,,
3/6/2012,Yobe,1,Boko Haram,,,,,,,
3/28/2012,Yobe,4,Boko Haram,,,,,,,
4/1/2012,Yobe,0,Boko Haram,,,,,,,
4/1/2012,Yobe,1,Boko Haram,,,,,,,
4/8/2012,Yobe,1,Boko Haram,,,,,,,
5/2/2012,Yobe,56,Boko Haram,,,,,,,
5/19/2012,Yobe,2,Boko Haram,,,,,,,
5/21/2012,Yobe,1,Boko Haram,,,,,,,
5/27/2012,Yobe,2,Boko Haram,,,,,,,
6/18/2012,Yobe,90,Boko Haram,,,,,,,
6/24/2012,Yobe,5,Boko Haram,,,,,,,
6/27/2012,Yobe,4,Boko Haram,,,,,,,
7/22/2012,Yobe,2,Boko Haram,,,,,,,
7/22/2012,Yobe,0,Boko Haram,,,,,,,
8/3/2012,Yobe,1,Boko Haram,,,,,,,
8/5/2012,Yobe,9,Boko Haram,,,,,,,
8/12/2012,Yobe,10,Boko Haram,,,,,,,
8/15/2012,Yobe,1,Boko Haram,,,,,,,
8/21/2012,Yobe,2,Boko Haram,,,,,,,
8/22/2012,Yobe,0,Boko Haram,,,,,,,
8/22/2012,Yobe,2,Boko Haram,,,,,,,
8/25/2012,Yobe,2,Boko Haram,,,,,,,
9/1/2012,Yobe,20,Boko Haram,,,,,,,
9/23/2012,Yobe,37,Boko Haram,,,,,,,
10/6/2012,Yobe,17,Boko Haram,,,,,,,
10/6/2012,Yobe,0,Boko Haram,,,,,,,
10/18/2012,Yobe,20,Boko Haram,,,,,,,
10/20/2012,Yobe,34,Boko Haram,,,,,,,
10/20/2012,Yobe,0,Boko Haram,,,,,,,
10/23/2012,Yobe,7,Boko Haram,,,,,,,
11/4/2012,Yobe,2,Boko Haram,,,,,,,
11/6/2012,Yobe,0,Boko Haram,,,,,,,
11/8/2012,Yobe,3,Boko Haram,,,,,,,
11/9/2012,Yobe,5,Boko Haram,,,,,,,
12/10/2012,Yobe,15,Boko Haram,,,,,,,
12/24/2012,Yobe,6,Boko Haram,,,,,,,
12/24/2012,Yobe,15,Boko Haram,,,,,,,
12/30/2012,Yobe,5,Boko Haram,,,,,,,
2/10/2013,Yobe,3,Boko Haram,,,,,,,
2/23/2013,Yobe,6,Boko Haram,,,,,,,
2/23/2013,Yobe,6,Boko Haram,,,,,,,
3/25/2013,Yobe,1,Boko Haram,,,,,,,
4/7/2013,Yobe,1,Boko Haram,,,,,,,
4/11/2013,Yobe,9,Boko Haram,,,,,,,
4/23/2013,Yobe,25,Boko Haram,,,,,,,
6/14/2013,Yobe,5,Boko Haram,,,,,,,
6/16/2013,Yobe,13,Boko Haram,,,,,,,
6/27/2013,Yobe,1,Boko Haram,,,,,,,
6/28/2013,Yobe,,Boko Haram,,,,,,,
7/6/2013,Yobe,42,Boko Haram,,,,,,,
8/5/2013,Yobe,6,Boko Haram,,,,,,,
9/18/2013,Yobe,11,Boko Haram,,,,,,,
9/26/2013,Yobe,3,Boko Haram,,,,,,,
9/29/2013,Yobe,90,Boko Haram,,,,,,,
10/24/2013,Yobe,128,Boko Haram,,,,,,,
2/25/2014,Yobe,59,Boko Haram,,,,,,,
3/1/2014,Yobe,39,Boko Haram,,,,,,,
3/3/2014,Yobe,4,Boko Haram,,,,,,,
3/13/2014,Yobe,3,Boko Haram,,,,,,,
3/17/2014,Yobe,9,Boko Haram,,,,,,,
4/5/2014,Yobe,17,Boko Haram,,,,,,,
4/9/2014,Yobe,2,Boko Haram,,,,,,,
5/17/2014,Yobe,15,Boko Haram,,,,,,,
5/26/2014,Yobe,45,Boko Haram,,,,,,,
6/17/2014,Yobe,21,Boko Haram,,,,,,,
6/27/2014,Yobe,7,Boko Haram,,,,,,,
7/28/2014,Yobe,8,Boko Haram,,,,,,,
7/29/2014,Yobe,17,Boko Haram,,,,,,,
8/20/2014,Yobe,40,Boko Haram,,,,,,,
9/3/2014,Yobe,0,Boko Haram,,,,,,,
11/3/2014,Yobe,82,Boko Haram,,,,,,,
11/10/2014,Yobe,58,Boko Haram,,,,,,,
12/1/2014,Yobe,59,Boko Haram,,,,,,,
12/20/2014,Yobe,0,Boko Haram,,,,,,,
12/31/2014,Yobe,6,Boko Haram,,,,,,,
1/3/2015,Yobe,40,Boko Haram,,,,,,,
1/7/2015,Yobe,25,Boko Haram,,,,,,,
1/9/2015,Yobe,10,Boko Haram,,,,,,,
1/10/2015,Yobe,2,Boko Haram,,,,,,,
1/11/2015,Yobe,20,Boko Haram,,,,,,,
1/18/2015,Yobe,5,Boko Haram,,,,,,,
2/1/2015,Yobe,10,Boko Haram,,,,,,,
2/15/2015,Yobe,13,Boko Haram,,,,,,,
2/17/2015,Yobe,3,Boko Haram,,,,,,,
2/22/2015,Yobe,8,Boko Haram,,,,,,,
2/24/2015,Yobe,16,Boko Haram,,,,,,,
2/27/2015,Yobe,12,Boko Haram,,,,,,,
3/7/2015,Yobe,4,Boko Haram,,,,,,,
3/28/2015,Yobe,3,Boko Haram,,,,,,,
4/25/2015,Yobe,21,Boko Haram,,,,,,,
5/8/2015,Yobe,2,Boko Haram,,,,,,,
5/16/2015,Yobe,8,Boko Haram,,,,,,,
5/30/2015,Yobe,0,Boko Haram,,,,,,,
6/15/2015,Yobe,11,Boko Haram,,,,,,,
6/14/2015,Yobe,0,Boko Haram,,,,,,,
6/23/2015,Yobe,15,Boko Haram,,,,,,,
7/5/2015,Yobe,6,Boko Haram,,,,,,,
7/17/2015,Yobe,50,Boko Haram,,,,,,,
7/20/2015,Yobe,8,Boko Haram,,,,,,,
7/26/2015,Yobe,22,Boko Haram,,,,,,,
7/30/2015,Yobe,15,Boko Haram,,,,,,,
8/6/2015,Yobe,9,Boko Haram,,,,,,,
8/18/2015,Yobe,160,Boko Haram,,,,,,,
8/25/2015,Yobe,2,Boko Haram,,,,,,,
10/7/2015,Yobe,18,Boko Haram,,,,,,,
10/7/2015,Yobe,107,Boko Haram,,,,,,,
10/28/2015,Yobe,20,Boko Haram,,,,,,,
11/20/2015,Yobe,7,Boko Haram,,,,,,,
1/15/2016,Yobe,18,Boko Haram,,,,,,,
1/24/2016,Yobe,1,Boko Haram,,,,,,,
4/19/2016,Yobe,11,Boko Haram,,,,,,,
9/14/2016,Yobe,4,Boko Haram,,,,,,,
1/7/2017,Yobe,21,Boko Haram,,,,,,,
1/25/2017,Yobe,13,Boko Haram,,,,,,,
2/6/2017,Yobe,2,Boko Haram,,,,,,,
2/24/2017,Yobe,18,Boko Haram,,,,,,,
8/20/2017,Yobe,2,Boko Haram,,,,,,,
10/24/2017,Yobe,15,Boko Haram,,,,,,,
10/29/2017,Yobe,0,Boko Haram,,,,,,,
2/9/2018,Yobe,5,Boko Haram,,,,,,,
2/19/2018,Yobe,2,Boko Haram,,,,,,,
3/2/2018,Yobe,1,Boko Haram,,,,,,,
5/20/2018,Yobe,0,Boko Haram,,,,,,,
7/15/2018,Yobe,62,Boko Haram,,,,,,,
7/21/2018,Yobe,48,Boko Haram,,,,,,,
11/8/2018,Yobe,0,Boko Haram,,,,,,,
12/1/2018,Yobe,18,Boko Haram,,,,,,,
12/24/2018,Yobe,25,Boko Haram,,,,,,,
12/29/2018,Yobe,8,Boko Haram,,,,,,,
1/20/2019,Yobe,40,Boko Haram,,,,,,,
1/23/2019,Yobe,8,Boko Haram,,,,,,,
2/1/2019,Yobe,0,Boko Haram,,,,,,,
2/4/2019,Yobe,20,Boko Haram,,,,,,,
2/16/2019,Yobe,14,Boko Haram,,,,,,,
2/23/2019,Yobe,0,Boko Haram,,,,,,,
4/9/2019,Yobe,20,Boko Haram,,,,,,,
6/26/2019,Yobe,10,Boko Haram,,,,,,,
7/17/2019,Yobe,21,Boko Haram,,,,,,,
9/6/2019,Yobe,2,Boko Haram,,,,,,,
10/5/2019,Yobe,0,Boko Haram,,,,,,,
11/7/2019,Yobe,11,Boko Haram,,,,,,,
11/19/2019,Yobe,0,Boko Haram,,,,,,,
11/27/2019,Yobe,1,Boko Haram,,,,,,,
12/22/2019,Yobe,31,Boko Haram,,,,,,,
1/19/2020,Yobe,0,Boko Haram,,,,,,,
2/16/2020,Yobe,0,Boko Haram,,,,,,,
2/21/2020,Yobe,10,Boko Haram,,,,,,,
3/4/2020,Yobe,8,Boko Haram,,,,,,,
4/18/2020,Yobe,1,Boko Haram,,,,,,,
4/20/2020,Yobe,13,Boko Haram,,,,,,,
5/18/2020,Yobe,7,Boko Haram,,,,,,,
5/18/2020,Yobe,5,Boko Haram,,,,,,,
10/24/2020,Yobe,7,Boko Haram,,,,,,,
11/8/2020,Yobe,5,Boko Haram,,,,,,,
1/6/2021,Yobe,0,Boko Haram,,,,,,,
1/9/2021,Yobe,41,Boko Haram,,,,,,,
1/9/2021,Yobe,30,Boko Haram,,,,,,,
1/25/2021,Yobe,5,Boko Haram,,,,,,,
2/9/2021,Yobe,0,Boko Haram,,,,,,,
2/16/2021,Yobe,7,Boko Haram,,,,,,,
2/16/2021,Yobe,2,Boko Haram,,,,,,,
3/16/2021,Yobe,0,Boko Haram,,,,,,,
4/16/2021,Yobe,5,Boko Haram,,,,,,,
4/23/2021,Yobe,32,Boko Haram,,,,,,,
4/29/2021,Yobe,,Boko Haram,,,,,,,
6/17/2021,Yobe,4,Boko Haram,,,,,,,
7/8/2021,Yobe,0,Boko Haram,,,,,,,
8/25/2021,Yobe,0,Boko Haram,,,,,,,
9/26/2021,Yobe,2,Boko Haram,,,,,,,
10/23/2021,Yobe,43,Boko Haram,,,,,,,
11/30/2021,Yobe,20,Boko Haram,,,,,,,
12/26/2021,Yobe,17,Boko Haram,,,,,,,
1/5/2022,Yobe,0,Boko Haram,,,,,,,
1/25/2022,Yobe,0,Boko Haram,,,,,,,
4/20/2022,Yobe,12,Boko Haram,,,,,,,
4/24/2022,Yobe,1,Boko Haram,,,,,,,
1/19/2014,Abia,0,Kidnapper,,,,,,,
1/24/2014,Abia,0,Kidnapper,,,,,,,
1/25/2014,Abia,0,Kidnapper,,,,,,,
2/26/2014,Abia,0,Kidnapper,,,,,,,
2/26/2014,Abia,0,Kidnapper,,,,,,,
6/18/2014,Abia,0,Kidnapper,,,,,,,
6/29/2014,Abia,1,Kidnapper,,,,,,,
10/5/2014,Abia,2,Kidnapper,,,,,,,
11/16/2014,Abia,0,Kidnapper,,,,,,,
11/19/2015,Abia,0,Kidnapper,,,,,,,
4/22/2016,Abia,2,Kidnapper,,,,,,,
12/20/2017,Abia,1,Kidnapper,,,,,,,
3/2/2018,Abia,0,Kidnapper,,,,,,,
1/28/2019,Abia,0,Kidnapper,,,,,,,
5/24/2019,Abia,0,Kidnapper,,,,,,,
8/28/2019,Abia,1,Kidnapper,,,,,,,
9/22/2019,Abia,0,Kidnapper,,,,,,,
11/15/2019,Abia,0,Kidnapper,,,,,,,
2/1/2020,Abia,2,Kidnapper,,,,,,,
5/4/2020,Abia,0,Kidnapper,,,,,,,
5/27/2020,Abia,0,Kidnapper,,,,,,,
7/8/2020,Abia,0,Kidnapper,,,,,,,
7/21/2020,Abia,0,Kidnapper,,,,,,,
11/25/2020,Abia,0,Kidnapper,,,,,,,
12/8/2020,Abia,0,Kidnapper,,,,,,,
12/8/2020,Abia,0,Kidnapper,,,,,,,
2/14/2021,Abia,0,Kidnapper,,,,,,,
3/6/2021,Abia,0,Kidnapper,,,,,,,
5/5/2021,Abia,0,Kidnapper,,,,,,,
5/12/2021,Abia,0,Kidnapper,,,,,,,
8/19/2021,Abia,0,Kidnapper,,,,,,,
9/18/2021,Abia,1,Kidnapper,,,,,,,
10/13/2021,Abia,0,Kidnapper,,,,,,,
12/11/2021,Abia,0,Kidnapper,,,,,,,
1/31/2022,Abia,0,Kidnapper,,,,,,,
2/19/2022,Abia,0,Kidnapper,,,,,,,
5/29/2022,Abia,0,Kidnapper,,,,,,,
7/15/2014,Adamawa,2,Kidnapper,,,,,,,
7/16/2014,Adamawa,0,Kidnapper,,,,,,,
11/9/2014,Adamawa,0,Kidnapper,,,,,,,
5/15/2015,Adamawa,0,Kidnapper,,,,,,,
1/23/2018,Adamawa,9,Kidnapper,,,,,,,
10/30/2018,Adamawa,0,Kidnapper,,,,,,,
2/18/2019,Adamawa,0,Kidnapper,,,,,,,
4/11/2019,Adamawa,0,Kidnapper,,,,,,,
5/8/2019,Adamawa,0,Kidnapper,,,,,,,
7/10/2019,Adamawa,0,Kidnapper,,,,,,,
