Date,state,Death,type,,,,,,,
11/6/2017,Adamawa,45,Boko Haram,,,,,,,
11/15/2017,Adamawa,0,Boko Haram,,,,,,,
11/21/2017,Adamawa,60,Boko Haram,,,,,,,
11/23/2017,Adamawa,7,Boko Haram,,,,,,,
11/29/2017,Adamawa,5,Boko Haram,,,,,,,
12/25/2017,Adamawa,4,Boko Haram,,,,,,,
1/1/2018,Adamawa,3,Boko Haram,,,,,,,
1/16/2018,Adamawa,5,Boko Haram,,,,,,,
1/18/2018,Adamawa,5,Boko Haram,,,,,,,
3/1/2018,Adamawa,1,Boko Haram,,,,,,,
4/6/2018,Adamawa,6,Boko Haram,,,,,,,
5/1/2018,Adamawa,86,Boko Haram,,,,,,,
5/16/2018,Adamawa,6,Boko Haram,,,,,,,
6/11/2018,Adamawa,1,Boko Haram,,,,,,,
7/10/2018,Adamawa,5,Boko Haram,,,,,,,
11/26/2018,Adamawa,1,Boko Haram,,,,,,,
2/4/2019,Adamawa,6,Boko Haram,,,,,,,
2/9/2019,Adamawa,5,Boko Haram,,,,,,,
2/12/2019,Adamawa,13,Boko Haram,,,,,,,
3/10/2019,Adamawa,2,Boko Haram,,,,,,,
3/18/2019,Adamawa,25,Boko Haram,,,,,,,
3/25/2019,Adamawa,0,Boko Haram,,,,,,,
3/30/2019,Adamawa,40,Boko Haram,,,,,,,
4/29/2019,Adamawa,30,Boko Haram,,,,,,,
5/16/2019,Adamawa,5,Boko Haram,,,,,,,
6/4/2019,Adamawa,0,Boko Haram,,,,,,,
11/14/2019,Adamawa,6,Boko Haram,,,,,,,
11/15/2019,Adamawa,5,Boko Haram,,,,,,,
1/2/2020,Adamawa,4,Boko Haram,,,,,,,
1/2/2020,Adamawa,6,Boko Haram,,,,,,,
1/2/2020,Adamawa,0,Boko Haram,,,,,,,
1/20/2020,Adamawa,1,Boko Haram,,,,,,,
2/21/2020,Adamawa,2,Boko Haram,,,,,,,
4/6/2020,Adamawa,0,Boko Haram,,,,,,,
5/7/2020,Adamawa,2,Boko Haram,,,,,,,
5/4/2020,Adamawa,10,Boko Haram,,,,,,,
12/24/2020,Adamawa,8,Boko Haram,,,,,,,
12/28/2020,Adamawa,0,Boko Haram,,,,,,,
4/9/2021,Adamawa,7,Boko Haram,,,,,,,
7/7/2021,Adamawa,24,Boko Haram,,,,,,,
5/9/2022,Adamawa,1,Boko Haram,,,,,,,
10/31/2015,Akwa Ibom,2,Boko Haram,,,,,,,
4/4/2012,Anambra,0,Boko Haram,,,,,,,
5/29/2011,Bauchi,20,Boko Haram,,,,,,,
7/5/2011,Bauchi,0,Boko Haram,,,,,,,
8/6/2011,Bauchi,0,Boko Haram,,,,,,,
8/7/2011,Bauchi,0,Boko Haram,,,,,,,
8/16/2011,Bauchi,0,Boko Haram,,,,,,,
9/12/2011,Bauchi,7,Boko Haram,,,,,,,
11/13/2011,Bauchi,0,Boko Haram,,,,,,,
11/20/2011,Bauchi,4,Boko Haram,,,,,,,
12/4/2011,Bauchi,7,Boko Haram,,,,,,,
1/22/2012,Bauchi,12,Boko Haram,,,,,,,
2/28/2012,Bauchi,1,Boko Haram,,,,,,,
5/7/2012,Bauchi,0,Boko Haram,,,,,,,
5/11/2012,Bauchi,2,Boko Haram,,,,,,,
5/11/2012,Bauchi,6,Boko Haram,,,,,,,
6/3/2012,Bauchi,12,Boko Haram,,,,,,,
6/3/2012,Bauchi,21,Boko Haram,,,,,,,
7/22/2012,Bauchi,1,Boko Haram,,,,,,,
7/26/2012,Bauchi,3,Boko Haram,,,,,,,
7/27/2012,Bauchi,1,Boko Haram,,,,,,,
8/8/2012,Bauchi,2,Boko Haram,,,,,,,
9/17/2012,Bauchi,2,Boko Haram,,,,,,,
9/23/2012,Bauchi,5,Boko Haram,,,,,,,
9/26/2012,Bauchi,2,Boko Haram,,,,,,,
10/10/2012,Bauchi,1,Boko Haram,,,,,,,
10/18/2012,Bauchi,0,Boko Haram,,,,,,,
10/28/2012,Bauchi,0,Boko Haram,,,,,,,
11/10/2012,Bauchi,1,Boko Haram,,,,,,,
8/31/2013,Bauchi,2,Boko Haram,,,,,,,
1/30/2014,Bauchi,,Boko Haram,,,,,,,
5/14/2014,Bauchi,1,Boko Haram,,,,,,,
6/27/2014,Bauchi,11,Boko Haram,,,,,,,
7/12/2014,Bauchi,1,Boko Haram,,,,,,,
9/3/2014,Bauchi,2,Boko Haram,,,,,,,
10/22/2014,Bauchi,17,Boko Haram,,,,,,,
11/7/2014,Bauchi,16,Boko Haram,,,,,,,
11/16/2014,Bauchi,31,Boko Haram,,,,,,,
12/8/2014,Bauchi,20,Boko Haram,,,,,,,
12/22/2014,Bauchi,15,Boko Haram,,,,,,,
3/11/2015,Bauchi,40,Boko Haram,,,,,,,
3/28/2015,Bauchi,0,Boko Haram,,,,,,,
3/29/2015,Bauchi,0,Boko Haram,,,,,,,
7/10/2015,Bauchi,45,Boko Haram,,,,,,,
11/12/2011,Benue,1,Boko Haram,,,,,,,
4/25/2015,Benue,15,Boko Haram,,,,,,,
1/9/2018,Benue,2,Boko Haram,,,,,,,
5/30/2011,Borno,1,Boko Haram,,,,,,,
